Date,Open,High,Low,Close,Adj Close,Volume
11-06-20,2102,2103.75,2062.5,2067.800049,1996.545776,80173
12-06-20,2009,2049,2009,2038.699951,1968.448242,94325
15-06-20,2040,2058,2000.599976,2030.050049,1960.096436,70028
16-06-20,2061,2072.550049,2031,2044.949951,1974.483032,274912
17-06-20,2042,2058.899902,2027.650024,2047.75,1977.186523,1555595
18-06-20,2035.050049,2059,2026,2036.800049,1966.613892,107922
19-06-20,null,null,null,null,null,null
22-06-20,2045.050049,2050,2020,2028.300049,1958.406738,210773
23-06-20,2017,2043.849976,2010,2035.400024,1965.262085,925309
24-06-20,2037,2064,2033.75,2042.349976,1971.972656,183408
25-06-20,2027.25,2059.75,2008,2010.900024,1941.606323,401416
26-06-20,2025,2129.800049,2020,2115.600098,2042.69873,285133
29-06-20,2114,2127,2091.800049,2101.850098,2029.422485,113144
30-06-20,2090,2111,2075.850098,2082.199951,2010.449463,144796
01-07-20,2085.050049,2113.649902,2081.550049,2092.550049,2020.442871,85048
02-07-20,2096.100098,2165,2096.100098,2158.350098,2083.975098,159176
03-07-20,null,null,null,null,null,null
06-07-20,2208.699951,2269,2206.25,2263.100098,2185.115967,1248594
07-07-20,2269,2301.850098,2232.75,2269.949951,2191.729736,192542
08-07-20,2275,2275,2209.800049,2217.649902,2141.231934,107819
09-07-20,2225,2244.649902,2192.600098,2204.350098,2128.390137,119208
10-07-20,2200,2249.149902,2177.25,2221.649902,2145.094238,259682
13-07-20,2225,2244.5,2210.75,2219.550049,2143.066162,91299
14-07-20,2217,2237.449951,2166.300049,2171.699951,2096.865234,105794
15-07-20,2183,2259.149902,2183,2233.550049,2156.583984,141346
16-07-20,2264,2332,2220.949951,2233.649902,2156.68042,260133
17-07-20,2255,2255,2190.100098,2201.350098,2125.493652,167683
20-07-20,2200,2226,2191.199951,2209.75,2133.604248,108192
21-07-20,2227,2240.699951,2202,2225.600098,2148.907959,133461
22-07-20,2232.300049,2237,2185,2189.949951,2114.486084,128289
23-07-20,2190,2191,2162.449951,2170.75,2095.948242,63185
24-07-20,2158.800049,2162.100098,2125.850098,2157.050049,2082.720459,106972
27-07-20,2160,2215,2160,2205.800049,2129.790283,110937
28-07-20,2214,2320,2214,2309.199951,2229.627197,345610
29-07-20,2292,2342,2247,2275.050049,2196.654297,173540
30-07-20,2292,2357.149902,2273.649902,2277.949951,2199.454102,209369
31-07-20,2300.5,2335,2258.5,2282.449951,2203.798828,115665
03-08-20,2299,2302.449951,2232,2251.300049,2173.722412,216125
04-08-20,2260,2269.300049,2226,2249.149902,2171.64624,98064
05-08-20,2264.949951,2299.949951,2253.300049,2258.800049,2180.964111,227082
06-08-20,2271.100098,2317.75,2264.350098,2307.699951,2228.178711,136621
07-08-20,2318.899902,2327,2287.800049,2294.949951,2215.868164,149776
10-08-20,2310,2324.350098,2275.649902,2281.600098,2202.978271,50885
11-08-20,2285,2312.399902,2276.100098,2279.25,2200.709229,53937
12-08-20,2281,2303.5,2247.199951,2256.699951,2178.936035,98143
13-08-20,2277.5,2299.449951,2250.5,2255.5,2177.778076,64899
14-08-20,2274.399902,2281.25,2233.149902,2242.449951,2165.177246,98443
17-08-20,2255,2268.850098,2239,2252.050049,2174.446533,98833
18-08-20,2264.800049,2288.5,2250,2269.399902,2191.198486,63828
19-08-20,2273.899902,2283.949951,2253,2256.25,2178.501953,70011
20-08-20,2257,2276,2240,2252,2174.398193,137977
21-08-20,2254,2270.300049,2242,2248.199951,2170.729004,54539
24-08-20,2248,2259.149902,2230,2247.949951,2170.487793,69290
25-08-20,2250,2250,2235,2242.25,2164.984131,44505
26-08-20,2245,2260,2217.050049,2254.649902,2176.956543,76925
27-08-20,2261.050049,2287,2242.350098,2247.899902,2170.439209,134823
28-08-20,2265,2280,2234.5,2237.100098,2160.011719,75463
31-08-20,2241,2275.850098,2228.300049,2256.350098,2178.598633,121315
01-09-20,2265,2278.100098,2241.5,2245.300049,2167.928955,54703
02-09-20,2249,2268.350098,2242,2264.800049,2186.75708,408776
03-09-20,2265.100098,2323.800049,2265.100098,2299.550049,2220.310059,109805
04-09-20,2242,2323.5,2242,2289.75,2210.847168,153313
07-09-20,2288,2342,2283,2327.399902,2247.199951,182399
08-09-20,2330.5,2389.5,2326.600098,2348.949951,2268.007324,251949
09-09-20,2325,2359.149902,2320,2323.75,2243.675781,101324
10-09-20,2329,2348.899902,2324.850098,2331.600098,2251.255371,79509
11-09-20,2348,2382.649902,2331,2373.699951,2291.904541,174945
14-09-20,2377,2504.199951,2377,2492.300049,2406.417969,191774
15-09-20,2487.5,2538,2459.899902,2490.25,2404.438477,437465
16-09-20,2490,2507.100098,2478.5,2502.649902,2416.411133,100286
17-09-20,2487,2495,2452.600098,2460.050049,2375.279297,83371
18-09-20,2480,2501,2435.75,2450.75,2366.299316,57975
21-09-20,2460,2505,2453.600098,2464.600098,2379.672363,127699
22-09-20,2484.800049,2554,2458.449951,2523.550049,2436.59082,264321
23-09-20,2510,2517,2410,2467.149902,2382.134277,238132
24-09-20,2450,2450,2302.5,2331.5,2251.158691,189137
25-09-20,2370,2439.800049,2350.050049,2422.300049,2338.830078,236610
28-09-20,2435,2442.800049,2365.850098,2425.350098,2341.774902,158816
29-09-20,2439,2512,2434,2487.25,2401.541748,192086
30-09-20,2495,2505.050049,2459.25,2491.5,2405.645264,438317
01-10-20,2509.800049,2539,2492,2522.75,2435.818604,55334
05-10-20,2610,2727,2604,2706.850098,2613.574707,473381
06-10-20,2736,2736,2649.350098,2716.149902,2622.553955,330035
07-10-20,2738,2769,2703,2737.399902,2643.071533,277896
08-10-20,2825,2885,2800,2824.800049,2727.459961,692625
09-10-20,2823,2828.75,2781,2814.949951,2717.949707,186388
12-10-20,2818.899902,2853.649902,2802,2831.199951,2733.639648,191337
13-10-20,2845,2855,2813.25,2825.649902,2728.280762,149828
14-10-20,2840.149902,2840.149902,2788.949951,2809.800049,2712.976807,86667
15-10-20,2810.100098,2827,2727,2738.699951,2644.327148,589029
16-10-20,2751,2771.199951,2733.449951,2762.5,2667.306885,64823
19-10-20,2777,2777,2706.600098,2711.449951,2618.016113,90310
20-10-20,2722,2760,2720,2738.399902,2644.037354,56441
21-10-20,2739,2749.600098,2663.100098,2675.449951,2583.256592,109319
22-10-20,2666.800049,2687.25,2638.550049,2670.800049,2578.76709,151372
23-10-20,2684,2706.050049,2670.550049,2686.449951,2593.877441,69850
26-10-20,2695,2709.800049,2671.699951,2687.649902,2595.035889,72725
27-10-20,2696.850098,2717,2625,2631.449951,2540.772461,86794
28-10-20,2653,2656.350098,2607.199951,2621.75,2531.406982,471923
29-10-20,2605,2654.449951,2601,2633.699951,2542.945068,86748
30-10-20,2639,2673.949951,2621.649902,2664.850098,2573.021973,77960
02-11-20,2665,2665,2600,2603.850098,2514.123779,106105
03-11-20,2604.699951,2664.75,2602,2632.649902,2541.931396,66138
04-11-20,2625,2720.449951,2615,2653.25,2561.821533,129239
05-11-20,2681,2709.75,2667.399902,2687.25,2594.650146,114531
06-11-20,2695,2713.350098,2681.699951,2708.25,2614.92627,86947
09-11-20,2738.25,2743.800049,2695.050049,2725.899902,2631.968018,124207
10-11-20,2725,2725,2640,2649.949951,2558.63501,182867
11-11-20,2645.300049,2691.850098,2644.25,2688.550049,2595.905029,179045
12-11-20,2687,2711.649902,2662.550049,2670.699951,2578.67041,75051
13-11-20,2656,2663.949951,2636.449951,2657.300049,2565.732178,436036
14-11-20,2680,2680,2660.050049,2670.699951,2578.67041,23415
17-11-20,2685,2690,2650.350098,2666.199951,2574.325439,87495
18-11-20,2665,2665,2608.050049,2625.899902,2535.413818,139122
19-11-20,2630,2678.600098,2630,2637.050049,2546.179932,114908
20-11-20,2655,2675,2628.25,2659.600098,2567.952637,146090
23-11-20,2685,2730,2666,2724,2630.133545,129100
24-11-20,2738,2743,2705,2722.100098,2628.299072,103065
25-11-20,2727,2730,2688.399902,2700.699951,2607.636475,198420
26-11-20,2686.649902,2729.949951,2681,2720.850098,2627.092041,60434
27-11-20,2700,2717.949951,2670,2679.149902,2586.829102,110671
01-12-20,2680,2735,2625.100098,2726.949951,2632.981689,90136
02-12-20,2720,2753.699951,2702.25,2749.149902,2654.416992,103473
03-12-20,2768.550049,2768.800049,2702.300049,2708.449951,2615.119385,392788
04-12-20,2706,2738.050049,2700,2726,2632.064697,67094
07-12-20,2719,2743,2706.300049,2736,2641.719971,44595
08-12-20,2745,2804.850098,2733,2796.399902,2700.03833,97986
09-12-20,2818,2840,2793.850098,2809.800049,2712.976807,108846
10-12-20,2820,2824.649902,2780.149902,2784.149902,2688.210938,50596
11-12-20,2795,2807,2765,2783.449951,2687.535156,55137
14-12-20,2800.100098,2806.199951,2757,2796.5,2700.13501,57915
15-12-20,2790,2795,2756,2761.199951,2666.051758,108436
16-12-20,2775,2819.75,2761.199951,2813.25,2716.308105,71532
17-12-20,2813.949951,2849,2805.550049,2837.899902,2740.108643,74645
18-12-20,2861,2898,2847,2862.600098,2763.957764,155614
21-12-20,2865,2888.550049,2782.899902,2818.75,2721.618896,181011
22-12-20,2830,2883.100098,2819,2870.800049,2771.875,90096
23-12-20,2889,2918,2866.050049,2907.199951,2807.020508,84950
24-12-20,2914.850098,2921.949951,2884,2908.449951,2808.227295,63577
28-12-20,2912.850098,2949.899902,2902.300049,2928.25,2827.345215,80008
29-12-20,2928.25,2951.899902,2924.199951,2930.649902,2829.662354,47486
30-12-20,2937,2947,2904,2908.850098,2808.61377,175469
31-12-20,2902,2906.050049,2845,2870.199951,2771.295654,834286
01-01-21,2879,2939.899902,2877.300049,2928.199951,2827.296875,152353
04-01-21,2950,3050,2942,3039.25,2934.520508,208783
05-01-21,3044.100098,3112.75,3040,3092.300049,2985.742188,188379
06-01-21,3102.149902,3114.449951,3037.800049,3052.949951,2947.748535,118089
07-01-21,3075,3079.800049,3001,3032.699951,2928.196045,160557
08-01-21,3085.199951,3127.550049,3061.800049,3120.350098,3012.825928,210057
11-01-21,3215,3224,3147.449951,3175.050049,3065.640625,253600
12-01-21,3179.949951,3208.100098,3150.949951,3172.850098,3063.516602,132445
13-01-21,3179.949951,3179.949951,3127.100098,3158.800049,3049.950928,653157
14-01-21,3164,3267,3120,3250.149902,3138.152588,531550
15-01-21,3244.350098,3273.850098,3210.100098,3233.600098,3122.173096,162323
18-01-21,3249,3255.5,3186.600098,3220.800049,3109.814453,167704
19-01-21,3229,3279,3229,3265.149902,3152.635986,94206
20-01-21,3265,3327,3265,3308.199951,3194.202393,1574806
21-01-21,3308,3310,3262,3274.800049,3161.953613,85349
22-01-21,3249.100098,3323.899902,3249.050049,3303.399902,3189.567871,316515
25-01-21,3295,3345.25,3277.699951,3290.199951,3176.822754,107916
